0,24,48
0,13,21
0,15,17
0,4,35
0,16,50
1,16,35
2,5,36
2,12,50
2,19,17
2,9,6
3,2,15
3,23,4
3,6,49
4,15,5
4,23,16
5,7,50
5,13,44
5,4,33
6,14,5
6,1,34
6,21,12
6,17,17
6,8,20
6,10,47
7,24,2
7,16,49
7,15,48
8,23,18
8,17,13
8,9,12
8,19,17
9,0,20
9,16,28
9,11,27
9,12,24
9,15,22
10,16,26
10,24,14
10,17,30
10,4,22
10,20,8
11,2,9
11,24,2
11,8,38
12,16,9
12,20,21
12,18,43
13,23,35
13,1,1
13,8,36
13,10,21
13,24,32
13,18,2
14,1,28
14,7,6
14,22,18
14,18,10
14,23,29
14,20,50
15,10,37
15,14,24
15,16,24
15,2,7
18,2,47
18,0,22
18,9,50
19,22,32
19,9,26
19,10,36
19,13,21
19,21,37
20,8,7
20,7,17
20,22,44
20,2,40
20,23,26
21,2,17
21,15,3
22,13,42
22,12,33
22,1,47
22,6,22
22,24,20
22,16,44
23,17,39
23,21,40
23,10,13
23,7,14
23,0,44
23,2,31
24,4,10
24,12,22
24,18,32
